,ret
2018-08-13,-7.936507936507937e-05
2018-08-14,-7.936507936507937e-05
2018-08-15,-7.936507936507937e-05
2018-08-16,-7.936507936507937e-05
2018-08-17,-7.936507936507937e-05
2018-08-20,-7.936507936507937e-05
2018-08-21,-7.936507936507937e-05
2018-08-22,-7.936507936507937e-05
2018-08-23,-7.936507936507937e-05
2018-08-24,-7.936507936507937e-05
2018-08-27,-7.936507936507937e-05
2018-08-28,-7.936507936507937e-05
2018-08-29,-7.936507936507937e-05
2018-08-30,-7.936507936507937e-05
2018-08-31,-7.936507936507937e-05
2018-09-04,-7.936507936507937e-05
2018-09-05,-7.936507936507937e-05
2018-09-06,-7.936507936507937e-05
2018-09-07,-7.936507936507937e-05
2018-09-10,-7.936507936507937e-05
2018-09-11,-7.936507936507937e-05
2018-09-12,-7.936507936507937e-05
2018-09-13,-7.936507936507937e-05
2018-09-14,-7.936507936507937e-05
2018-09-17,-7.936507936507937e-05
2018-09-18,-7.936507936507937e-05
2018-09-19,-7.936507936507937e-05
2018-09-20,-7.936507936507937e-05
2018-09-21,-7.936507936507937e-05
2018-09-24,-7.936507936507937e-05
2018-09-25,-7.936507936507937e-05
2018-09-26,-7.936507936507937e-05
2018-09-27,-7.936507936507937e-05
2018-09-28,-0.0001538180668679982
2018-10-01,0.0020909399697479603
2018-10-02,0.0023521071629314175
2018-10-03,-0.0023548840447866876
2018-10-04,-0.005629640735666596
2018-10-05,-0.0034017145575241867
2018-10-08,0.00020113092857957531
2018-10-09,-0.0025219710558110177
2018-10-10,-0.02372982566788374
2018-10-11,-0.014465102760842926
2018-10-12,0.008067636173911317
2018-10-15,-0.0023089971811651386
2018-10-16,0.01525843370311259
2018-10-17,-0.0014700553461666323
2018-10-18,-0.009879516155458293
2018-10-19,5.668943421772315e-05
2018-10-22,-0.004918410723631678
2018-10-23,-0.005393202446694087
2018-10-24,-0.020666496709194505
2018-10-25,0.011479195124973694
2018-10-26,-0.013032172177388847
2018-10-29,-0.004097541042516595
2018-10-30,0.013464265991061083
2018-10-31,0.005258410454543718
2018-11-01,0.010401219271430198
2018-11-02,-0.005270996973543979
2018-11-05,0.006092411234596638
2018-11-06,0.00557691039398981
2018-11-07,0.015428527537082603
2018-11-08,-0.003201240020988827
2018-11-09,-0.007250333784148764
2018-11-12,-0.013865636138361144
2018-11-13,-0.0020391699610116873
2018-11-14,-0.004282118681501349
2018-11-15,0.007172736054689494
2018-11-16,0.004381284852127259
2018-11-19,-0.01094551715533147
2018-11-20,-0.015141701634797864
2018-11-21,0.002762077384575455
2018-11-23,-0.006173230831934043
2018-11-26,0.011220812248043449
2018-11-27,0.0011032854503812118
2018-11-28,0.01589589955207903
2018-11-29,0.0004538061421259674
2018-11-30,0.005755999715031663
2018-12-03,0.009989902877198194
2018-12-04,-0.022030447785355033
2018-12-06,-0.002698184316270755
2018-12-07,-0.015389704454907368
2018-12-10,0.00027752391772573775
2018-12-11,-0.00024374027134110125
2018-12-12,0.004221842266477045
2018-12-13,-0.0013423989921602306
2018-12-14,-0.013257254838977222
2018-12-17,-0.015933447113543085
2018-12-18,-0.0013756900033587084
2018-12-19,-0.011335211683170343
2018-12-20,-0.012325927647375858
2018-12-21,-0.014656217124729082
2018-12-24,-0.022049173580857888
2018-12-26,0.037093741555401905
2018-12-27,0.008431661485905469
2018-12-28,-0.0005205504424383189
2018-12-31,0.006197907031329448
2019-01-02,0.0022200789657708456
2019-01-03,-0.01556577588605808
2019-01-04,0.02585604082367252
2019-01-07,0.005494518584187619
2019-01-08,0.0076729307267982645
2019-01-09,0.0033645272580027446
2019-01-10,0.0030776910293131557
2019-01-11,-0.0006037989948514977
2019-01-14,-0.0052535596927455585
2019-01-15,0.006454874189877307
2019-01-16,0.0015801942686758646
2019-01-17,0.0068267776210704225
2019-01-18,0.010007468472905401
2019-01-22,-0.010422311061848632
2019-01-23,0.0005711144956837996
2019-01-24,0.0010869588950074634
2019-01-25,0.006905608310177392
2019-01-28,-0.005190225640241911
2019-01-29,0.0012092059139162284
2019-01-30,0.011957252272077916
2019-01-31,0.008175880822939102
2019-02-01,-9.639949434705347e-05
2019-02-04,0.0037620147148936037
2019-02-05,0.004211802081669544
2019-02-06,-0.003365114308970714
2019-02-07,-0.006230600835313229
2019-02-08,0.0014615452705500419
2019-02-11,-0.00024775474147779603
2019-02-12,0.010242864390243155
2024-03-04,0.0002854572983869778
2024-03-05,-0.0032962101816989293
2024-03-06,0.0053877076699635
2024-03-07,0.0073001196895939756
2024-03-08,-0.002027454251287144
2024-03-11,0.0017611984878201535
2024-03-12,0.0020621706863690726
2024-03-13,0.002609567995767279
2024-03-14,-0.0046271614129026395
2024-03-15,-0.0033222713723377244
2024-03-18,0.00453638236899641
2024-03-19,0.004866866969671764
2024-03-20,0.0069269982170794995
2024-03-21,0.002961960760581035
2024-03-22,-0.002816579928436815
2024-03-25,-0.0013530625994048308
2024-03-26,-0.0013160790820477852
2024-03-27,0.011770990199230637
2024-03-28,0.002497504237790845
2024-04-01,-0.0030884528887006064
2024-04-02,-0.0030198761825213287
2024-04-03,0.001688225890297719
2024-04-04,-0.007677610588119871
2024-04-05,0.0071678667432322814
2024-04-08,0.0010459056286271896
2024-04-09,0.0027681154962163413
2024-04-10,-0.011353239977558155
2024-04-11,0.002899570623512295
2024-04-12,-0.012355026926513609
2024-04-15,-0.0073030244908233195
2024-04-16,-0.004346044991886336
2024-04-17,0.00018370881878321938
2024-04-18,-0.0006524585253800604
2024-04-19,0.0014663449941429867
2024-04-22,0.0030957596819573717
2024-04-23,0.006381893779429981
2024-04-24,0.0007116402893278784
2024-04-25,-0.0030321259694026394
2024-04-26,0.0033167820901319547
2024-04-29,0.005155032354268893
2024-04-30,-0.014893491140597001
2024-05-01,0.0001645377587215297
2024-05-02,0.0049326135605741615
2024-05-03,0.007207729632065006
2024-05-06,0.008001089922574688
2024-05-07,0.003235408982625243
2024-05-08,-0.0008791735641393129
2024-05-09,0.008810540909396865
2024-05-10,0.0006949776241772119
2024-05-13,-0.0019513912129257684
2024-05-14,0.0035955394412802225
2024-05-15,0.008692741312014259
2024-05-16,-0.0018984071075115664
2024-05-17,0.003727147215921052
2024-05-20,-0.0016834170088875612
