CAGR,Vol,Sharpe,MaxDD,Hit%,window,vt_target,exec_speed,no_trade_band,w_cap,AnnTurn
0.0879,0.1586,0.4283,-0.303,0.5331,42,0.08,0.25,0.001,0.1,0.5819
0.0877,0.1586,0.4269,-0.303,0.5331,42,0.08,0.25,0.001,0.2,0.6612
0.0877,0.1586,0.4268,-0.303,0.5331,42,0.08,0.25,0.001,0.3,0.6752
0.0879,0.1586,0.4284,-0.303,0.5331,42,0.08,0.25,0.002,0.1,0.5814
0.0877,0.1586,0.4269,-0.303,0.5331,42,0.08,0.25,0.002,0.2,0.6607
0.0877,0.1586,0.4269,-0.303,0.5331,42,0.08,0.25,0.002,0.3,0.6747
0.088,0.1586,0.4285,-0.303,0.5331,42,0.08,0.25,0.004,0.1,0.5799
0.0877,0.1586,0.427,-0.303,0.5331,42,0.08,0.25,0.004,0.2,0.6592
0.0877,0.1586,0.427,-0.303,0.5331,42,0.08,0.25,0.004,0.3,0.6732
0.0878,0.1586,0.4273,-0.303,0.5331,42,0.08,0.33,0.001,0.1,0.6495
0.0872,0.1586,0.4235,-0.303,0.5331,42,0.08,0.33,0.001,0.2,0.8638
0.0872,0.1586,0.4234,-0.303,0.5331,42,0.08,0.33,0.001,0.3,0.8778
0.0878,0.1586,0.4273,-0.303,0.5331,42,0.08,0.33,0.002,0.1,0.6489
0.0872,0.1586,0.4236,-0.303,0.5331,42,0.08,0.33,0.002,0.2,0.8632
0.0872,0.1586,0.4235,-0.303,0.5331,42,0.08,0.33,0.002,0.3,0.8772
0.0878,0.1586,0.4274,-0.303,0.5331,42,0.08,0.33,0.004,0.1,0.6468
0.0872,0.1586,0.4237,-0.303,0.5331,42,0.08,0.33,0.004,0.2,0.8612
0.0872,0.1586,0.4236,-0.303,0.5331,42,0.08,0.33,0.004,0.3,0.8752
0.0876,0.1586,0.426,-0.303,0.5331,42,0.08,0.5,0.001,0.1,0.7372
0.0865,0.1586,0.4193,-0.303,0.5331,42,0.08,0.5,0.001,0.2,1.1638
0.0862,0.1586,0.4173,-0.303,0.5331,42,0.08,0.5,0.001,0.3,1.3084
0.0876,0.1586,0.4261,-0.303,0.5331,42,0.08,0.5,0.002,0.1,0.7362
0.0865,0.1586,0.4194,-0.303,0.5331,42,0.08,0.5,0.002,0.2,1.1629
0.0862,0.1586,0.4173,-0.303,0.5331,42,0.08,0.5,0.002,0.3,1.3074
0.0876,0.1586,0.4262,-0.303,0.5331,42,0.08,0.5,0.004,0.1,0.7332
0.0865,0.1586,0.4195,-0.303,0.5331,42,0.08,0.5,0.004,0.2,1.1598
0.0862,0.1586,0.4175,-0.303,0.5331,42,0.08,0.5,0.004,0.3,1.3044
0.0884,0.1586,0.431,-0.303,0.5342,42,0.1,0.25,0.001,0.1,0.459
0.0882,0.1586,0.4298,-0.303,0.5342,42,0.1,0.25,0.001,0.2,0.5214
0.0882,0.1586,0.4297,-0.303,0.5342,42,0.1,0.25,0.001,0.3,0.5354
0.0884,0.1586,0.4312,-0.303,0.5342,42,0.1,0.25,0.002,0.1,0.4567
0.0882,0.1586,0.43,-0.303,0.5342,42,0.1,0.25,0.002,0.2,0.5191
0.0882,0.1586,0.43,-0.303,0.5342,42,0.1,0.25,0.002,0.3,0.5331
0.0885,0.1586,0.4315,-0.303,0.5342,42,0.1,0.25,0.004,0.1,0.4518
0.0883,0.1586,0.4304,-0.303,0.5342,42,0.1,0.25,0.004,0.2,0.5142
0.0883,0.1586,0.4303,-0.303,0.5342,42,0.1,0.25,0.004,0.3,0.5283
0.0882,0.1586,0.4299,-0.303,0.5342,42,0.1,0.33,0.001,0.1,0.5151
0.0877,0.1586,0.4269,-0.303,0.5342,42,0.1,0.33,0.001,0.2,0.6792
0.0877,0.1586,0.4268,-0.303,0.5342,42,0.1,0.33,0.001,0.3,0.6932
0.0882,0.1586,0.4301,-0.303,0.5342,42,0.1,0.33,0.002,0.1,0.512
0.0878,0.1586,0.4272,-0.303,0.5342,42,0.1,0.33,0.002,0.2,0.6762
0.0877,0.1586,0.4271,-0.303,0.5342,42,0.1,0.33,0.002,0.3,0.6902
0.0883,0.1586,0.4305,-0.303,0.5342,42,0.1,0.33,0.004,0.1,0.5057
0.0878,0.1586,0.4276,-0.303,0.5342,42,0.1,0.33,0.004,0.2,0.6698
0.0878,0.1586,0.4275,-0.303,0.5342,42,0.1,0.33,0.004,0.3,0.6838
0.088,0.1586,0.4284,-0.303,0.5336,42,0.1,0.5,0.001,0.1,0.5974
0.0871,0.1586,0.4231,-0.303,0.5336,42,0.1,0.5,0.001,0.2,0.9179
0.0869,0.1587,0.4215,-0.303,0.5336,42,0.1,0.5,0.001,0.3,1.0287
0.088,0.1586,0.4287,-0.303,0.5336,42,0.1,0.5,0.002,0.1,0.5928
0.0872,0.1586,0.4234,-0.303,0.5336,42,0.1,0.5,0.002,0.2,0.9133
0.0869,0.1587,0.4218,-0.303,0.5336,42,0.1,0.5,0.002,0.3,1.0241
0.0881,0.1586,0.4292,-0.303,0.5336,42,0.1,0.5,0.004,0.1,0.5832
0.0872,0.1586,0.4239,-0.303,0.5336,42,0.1,0.5,0.004,0.2,0.9037
0.087,0.1587,0.4223,-0.303,0.5336,42,0.1,0.5,0.004,0.3,1.0145
0.0882,0.1586,0.4297,-0.303,0.5336,42,0.12,0.25,0.001,0.1,0.5414
0.088,0.1586,0.4288,-0.303,0.5336,42,0.12,0.25,0.001,0.2,0.6094
0.088,0.1586,0.4286,-0.303,0.5336,42,0.12,0.25,0.001,0.3,0.6253
0.0882,0.1586,0.4299,-0.303,0.5336,42,0.12,0.25,0.002,0.1,0.5404
0.088,0.1586,0.4289,-0.303,0.5336,42,0.12,0.25,0.002,0.2,0.6085
0.088,0.1586,0.4288,-0.303,0.5336,42,0.12,0.25,0.002,0.3,0.6243
0.0882,0.1586,0.43,-0.303,0.5336,42,0.12,0.25,0.004,0.1,0.5393
0.0881,0.1586,0.429,-0.303,0.5336,42,0.12,0.25,0.004,0.2,0.6073
0.088,0.1586,0.4289,-0.303,0.5336,42,0.12,0.25,0.004,0.3,0.6231
0.0879,0.1586,0.4283,-0.303,0.5331,42,0.12,0.33,0.001,0.1,0.6274
0.0875,0.1586,0.4258,-0.303,0.5331,42,0.12,0.33,0.001,0.2,0.7776
0.0875,0.1586,0.4255,-0.303,0.5331,42,0.12,0.33,0.001,0.3,0.8119
0.088,0.1586,0.4284,-0.303,0.5331,42,0.12,0.33,0.002,0.1,0.6261
0.0876,0.1586,0.4259,-0.303,0.5331,42,0.12,0.33,0.002,0.2,0.7763
0.0875,0.1586,0.4257,-0.303,0.5331,42,0.12,0.33,0.002,0.3,0.8106
0.088,0.1586,0.4285,-0.303,0.5331,42,0.12,0.33,0.004,0.1,0.6245
0.0876,0.1586,0.426,-0.303,0.5331,42,0.12,0.33,0.004,0.2,0.7747
0.0876,0.1586,0.4258,-0.303,0.5331,42,0.12,0.33,0.004,0.3,0.8091
0.0877,0.1586,0.4269,-0.303,0.5331,42,0.12,0.5,0.001,0.1,0.7052
0.0868,0.1587,0.4213,-0.303,0.5331,42,0.12,0.5,0.001,0.2,1.0828
0.0867,0.1587,0.4201,-0.303,0.5331,42,0.12,0.5,0.001,0.3,1.1769
0.0878,0.1586,0.4271,-0.303,0.5331,42,0.12,0.5,0.002,0.1,0.7033
0.0869,0.1587,0.4215,-0.303,0.5331,42,0.12,0.5,0.002,0.2,1.0809
0.0867,0.1587,0.4203,-0.303,0.5331,42,0.12,0.5,0.002,0.3,1.1749
0.0878,0.1586,0.4273,-0.303,0.5331,42,0.12,0.5,0.004,0.1,0.7009
0.0869,0.1587,0.4216,-0.303,0.5331,42,0.12,0.5,0.004,0.2,1.0785
0.0867,0.1587,0.4204,-0.303,0.5331,42,0.12,0.5,0.004,0.3,1.1725
0.0974,0.1575,0.4913,-0.303,0.5231,63,0.08,0.25,0.001,0.1,0.562
0.0972,0.1575,0.4898,-0.303,0.5231,63,0.08,0.25,0.001,0.2,0.6406
0.0971,0.1575,0.4897,-0.303,0.5231,63,0.08,0.25,0.001,0.3,0.6546
0.0974,0.1575,0.4914,-0.303,0.5231,63,0.08,0.25,0.002,0.1,0.5614
0.0972,0.1575,0.4899,-0.303,0.5231,63,0.08,0.25,0.002,0.2,0.64
0.0972,0.1575,0.4897,-0.303,0.5231,63,0.08,0.25,0.002,0.3,0.654
0.0974,0.1575,0.4915,-0.303,0.5231,63,0.08,0.25,0.004,0.1,0.5599
0.0972,0.1575,0.49,-0.303,0.5231,63,0.08,0.25,0.004,0.2,0.6385
0.0972,0.1575,0.4898,-0.303,0.5231,63,0.08,0.25,0.004,0.3,0.6525
0.0972,0.1575,0.4902,-0.303,0.5231,63,0.08,0.33,0.001,0.1,0.6288
0.0966,0.1576,0.4864,-0.303,0.5231,63,0.08,0.33,0.001,0.2,0.8367
0.0966,0.1576,0.4863,-0.303,0.5231,63,0.08,0.33,0.001,0.3,0.8507
0.0972,0.1575,0.4903,-0.303,0.5231,63,0.08,0.33,0.002,0.1,0.628
0.0967,0.1576,0.4865,-0.303,0.5231,63,0.08,0.33,0.002,0.2,0.8359
0.0966,0.1576,0.4864,-0.303,0.5231,63,0.08,0.33,0.002,0.3,0.8499
0.0973,0.1575,0.4904,-0.303,0.5231,63,0.08,0.33,0.004,0.1,0.626
0.0967,0.1576,0.4866,-0.303,0.5231,63,0.08,0.33,0.004,0.2,0.8339
0.0966,0.1576,0.4865,-0.303,0.5231,63,0.08,0.33,0.004,0.3,0.8479
0.097,0.1575,0.4889,-0.303,0.5231,63,0.08,0.5,0.001,0.1,0.7202
0.096,0.1576,0.4823,-0.303,0.5231,63,0.08,0.5,0.001,0.2,1.124
0.0957,0.1576,0.4802,-0.303,0.5231,63,0.08,0.5,0.001,0.3,1.2672
0.097,0.1575,0.489,-0.303,0.5231,63,0.08,0.5,0.002,0.1,0.719
0.096,0.1576,0.4824,-0.303,0.5231,63,0.08,0.5,0.002,0.2,1.1228
0.0957,0.1576,0.4803,-0.303,0.5231,63,0.08,0.5,0.002,0.3,1.2661
0.0971,0.1575,0.4891,-0.303,0.5231,63,0.08,0.5,0.004,0.1,0.716
0.096,0.1576,0.4825,-0.303,0.5231,63,0.08,0.5,0.004,0.2,1.1197
0.0957,0.1576,0.4804,-0.303,0.5231,63,0.08,0.5,0.004,0.3,1.263
0.0978,0.1576,0.4939,-0.303,0.5242,63,0.1,0.25,0.001,0.1,0.4459
0.0976,0.1576,0.4928,-0.303,0.5242,63,0.1,0.25,0.001,0.2,0.5071
0.0976,0.1576,0.4926,-0.303,0.5242,63,0.1,0.25,0.001,0.3,0.5211
0.0979,0.1576,0.4941,-0.303,0.5242,63,0.1,0.25,0.002,0.1,0.4436
0.0977,0.1576,0.493,-0.303,0.5242,63,0.1,0.25,0.002,0.2,0.5048
0.0976,0.1576,0.4928,-0.303,0.5242,63,0.1,0.25,0.002,0.3,0.5188
0.0979,0.1576,0.4946,-0.303,0.5242,63,0.1,0.25,0.004,0.1,0.4379
0.0977,0.1576,0.4934,-0.303,0.5242,63,0.1,0.25,0.004,0.2,0.4991
0.0977,0.1576,0.4933,-0.303,0.5242,63,0.1,0.25,0.004,0.3,0.5131
0.0977,0.1576,0.4929,-0.303,0.5242,63,0.1,0.33,0.001,0.1,0.499
0.0972,0.1576,0.4898,-0.303,0.5242,63,0.1,0.33,0.001,0.2,0.6604
0.0972,0.1576,0.4897,-0.303,0.5242,63,0.1,0.33,0.001,0.3,0.6744
0.0977,0.1576,0.4931,-0.303,0.5242,63,0.1,0.33,0.002,0.1,0.496
0.0972,0.1576,0.4901,-0.303,0.5242,63,0.1,0.33,0.002,0.2,0.6573
0.0972,0.1576,0.49,-0.303,0.5242,63,0.1,0.33,0.002,0.3,0.6713
0.0978,0.1576,0.4936,-0.303,0.5242,63,0.1,0.33,0.004,0.1,0.4885
0.0973,0.1576,0.4906,-0.303,0.5242,63,0.1,0.33,0.004,0.2,0.6498
0.0973,0.1576,0.4905,-0.303,0.5242,63,0.1,0.33,0.004,0.3,0.6638
0.0974,0.1576,0.4915,-0.303,0.5236,63,0.1,0.5,0.001,0.1,0.5766
0.0966,0.1576,0.4861,-0.303,0.5236,63,0.1,0.5,0.001,0.2,0.8918
0.0963,0.1576,0.4845,-0.303,0.5236,63,0.1,0.5,0.001,0.3,1.0001
0.0975,0.1576,0.4918,-0.303,0.5236,63,0.1,0.5,0.002,0.1,0.5719
0.0966,0.1576,0.4864,-0.303,0.5236,63,0.1,0.5,0.002,0.2,0.8871
0.0964,0.1576,0.4848,-0.303,0.5236,63,0.1,0.5,0.002,0.3,0.9955
0.0976,0.1576,0.4924,-0.303,0.5236,63,0.1,0.5,0.004,0.1,0.5606
0.0967,0.1576,0.487,-0.303,0.5236,63,0.1,0.5,0.004,0.2,0.8758
0.0965,0.1576,0.4854,-0.303,0.5236,63,0.1,0.5,0.004,0.3,0.9842
0.0976,0.1576,0.4923,-0.303,0.5236,63,0.12,0.25,0.001,0.1,0.5433
0.0974,0.1576,0.4912,-0.303,0.5236,63,0.12,0.25,0.001,0.2,0.6123
0.0974,0.1576,0.4911,-0.303,0.5236,63,0.12,0.25,0.001,0.3,0.6282
0.0976,0.1576,0.4924,-0.303,0.5236,63,0.12,0.25,0.002,0.1,0.5428
0.0974,0.1576,0.4913,-0.303,0.5236,63,0.12,0.25,0.002,0.2,0.6118
0.0974,0.1576,0.4911,-0.303,0.5236,63,0.12,0.25,0.002,0.3,0.6277
0.0976,0.1576,0.4926,-0.303,0.5236,63,0.12,0.25,0.004,0.1,0.5402
0.0974,0.1576,0.4915,-0.303,0.5236,63,0.12,0.25,0.004,0.2,0.6093
0.0974,0.1576,0.4914,-0.303,0.5236,63,0.12,0.25,0.004,0.3,0.6251
0.0973,0.1576,0.4908,-0.303,0.5231,63,0.12,0.33,0.001,0.1,0.6315
0.0969,0.1576,0.4882,-0.303,0.5231,63,0.12,0.33,0.001,0.2,0.7813
0.0969,0.1576,0.4879,-0.303,0.5231,63,0.12,0.33,0.001,0.3,0.8157
0.0973,0.1576,0.4908,-0.303,0.5231,63,0.12,0.33,0.002,0.1,0.6309
0.0969,0.1576,0.4883,-0.303,0.5231,63,0.12,0.33,0.002,0.2,0.7807
